OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
SOYUZ-MS 26,2024-162A,2024-10-05T19:00:24.829920,15.4926304800,0.0009172000,51.6361000000,127.5460000000,40.4137000000,319.7532000000,0,U,61043,999,47550,0.0005684600,0.0003132600,0E-10
SPACEMOBILE-003,2024-163A,2024-10-05T21:12:33.799392,15.1723304100,0.0013607000,52.9770000000,274.3365000000,33.1715000000,327.0128000000,0,U,61045,999,357,0.0003794700,0.0000734600,0E-10
SPACEMOBILE-005,2024-163B,2024-10-05T21:07:27.964128,15.1746200900,0.0014229000,52.9783000000,274.3232000000,37.3498000000,322.8481000000,0,U,61046,999,356,0.0003946500,0.0000770700,0E-10
SPACEMOBILE-001,2024-163C,2024-10-05T21:06:26.629632,15.1750876000,0.0014037000,52.9747000000,274.3003000000,38.0120000000,322.1861000000,0,U,61047,999,356,0.0003963300,0.0000775100,0E-10
SPACEMOBILE-002,2024-163D,2024-10-05T21:00:34.388928,15.1777654300,0.0013408000,52.9778000000,274.2834000000,41.3841000000,318.8166000000,0,U,61048,999,356,0.0004429900,0.0000877000,0E-10
SPACEMOBILE-004,2024-163E,2024-10-05T20:56:45.868704,15.1795895500,0.0013791000,52.9776000000,274.2734000000,46.1821000000,314.0309000000,0,U,61049,999,356,0.0008205000,0.0001662600,0E-10
STARLINK-11286 [DTC],2024-164A,2024-10-05T22:10:52.474944,15.7673876400,0.0001248000,53.1573000000,354.2866000000,250.6466000000,109.4419000000,0,U,61050,999,480,0.0003077900,0.0005003900,0E-10
STARLINK-11252 [DTC],2024-164B,2024-10-06T04:09:02.152512,15.7663298700,0.0001527000,53.1570000000,352.9900000000,125.3249000000,234.7915000000,0,U,61051,999,475,0.0000489620,0.0000733200,0E-10
STARLINK-11284 [DTC],2024-164C,2024-10-05T21:56:50.185536,15.7674416900,0.0001161000,53.1565000000,354.2205000000,66.4562000000,293.6581000000,0,U,61052,999,377,0.0000966060,0.0001519500,0E-10
STARLINK-11230 [DTC],2024-164D,2024-10-06T05:26:12.145344,15.7682860200,0.0000678000,53.1551000000,352.6103000000,133.6135000000,226.4943000000,0,U,61053,999,486,0.0019032000,0.0032445400,0E-10
STARLINK-11294 [DTC],2024-164E,2024-10-05T20:11:30.485184,15.7674312500,0.0001092000,53.1558000000,354.4721000000,103.2872000000,256.8271000000,0,U,61054,999,376,0.0006556900,0.0010810000,0E-10
STARLINK-11268 [DTC],2024-164F,2024-10-05T20:04:28.269984,15.7673516900,0.0002999000,53.1560000000,354.4399000000,40.6315000000,319.4929000000,0,U,61055,999,376,0.0007151200,0.0011807400,0E-10
STARLINK-11156 [DTC],2024-164G,2024-10-05T19:57:26.864352,15.7671493000,0.0001918000,53.1565000000,354.4088000000,52.5115000000,307.6080000000,0,U,61056,999,376,-0.0000042872,-0.0000135700,0E-10
STARLINK-11231 [DTC],2024-164H,2024-10-05T22:00:00.999936,15.7279906900,0.0001160000,53.1609000000,353.9531000000,55.8610000000,83.2422000000,0,U,61057,999,474,-0.0089017000,-0.0109972700,0E-10
STARLINK-11299 [DTC],2024-164J,2024-10-05T22:00:00.999936,15.7279971900,0.0000955000,53.1590000000,353.8956000000,65.4368000000,101.4033000000,0,U,61058,999,482,-0.0089168000,-0.0110134500,0E-10
STARLINK-11154 [DTC],2024-164K,2024-10-05T22:00:00.999936,15.7279906500,0.0001003000,53.1593000000,353.8372000000,64.6365000000,129.9396000000,0,U,61059,999,483,-0.0089054000,-0.0110007500,0E-10
STARLINK-11297 [DTC],2024-164L,2024-10-06T06:00:00.999648,15.7201963300,0.0000788000,53.1592000000,352.1290000000,84.3946000000,225.8788000000,0,U,61060,999,470,-0.0089253000,-0.0106960900,0E-10
STARLINK-11233 [DTC],2024-164M,2024-10-05T22:00:00.999936,15.7279625300,0.0000834000,53.1591000000,353.7234000000,78.8837000000,171.1672000000,0,U,61061,999,483,-0.0088563000,-0.0109445600,0E-10
STARLINK-11236 [DTC],2024-164N,2024-10-05T22:00:00.999936,15.7279593100,0.0000817000,53.1593000000,353.6657000000,69.9169000000,207.8702000000,0,U,61062,999,465,-0.0088450000,-0.0109318400,0E-10
STARLINK-32350,2024-164P,2024-10-05T22:00:00.999936,15.4931728700,0.0001081000,53.1592000000,355.1068000000,83.2489000000,203.2228000000,0,U,61063,999,475,-0.0001744400,-0.0001014000,0E-10
STARLINK-32378,2024-164Q,2024-10-05T22:00:00.999936,15.4931734600,0.0001011000,53.1593000000,355.0988000000,81.7583000000,208.5466000000,0,U,61064,999,474,-0.0001783200,-0.0001035500,0E-10
STARLINK-32321,2024-164R,2024-10-06T06:00:00.999648,15.4809491100,0.0000873000,53.1593000000,353.5100000000,75.5189000000,272.2609000000,0,U,61065,999,484,-0.0313970000,-0.0151361600,0E-10
STARLINK-32381,2024-164S,2024-10-05T22:00:00.999936,15.4932207800,0.0000900000,53.1596000000,355.0948000000,115.0098000000,177.2082000000,0,U,61066,999,475,-0.0002960700,-0.0001688600,0E-10
STARLINK-32368,2024-164T,2024-10-05T22:00:00.999936,15.4932275000,0.0001156000,53.1590000000,355.0908000000,87.2550000000,206.8752000000,0,U,61067,999,475,-0.0002128300,-0.0001227200,0E-10
STARLINK-32385,2024-164U,2024-10-06T06:00:00.999648,15.4942349100,0.0000842000,53.1592000000,353.4846000000,113.9547000000,246.1553000000,0,U,61068,999,484,-0.0299370000,-0.0151270600,0E-10
STARLINK-32380,2024-164V,2024-10-05T22:00:00.999936,15.4932289500,0.0000930000,53.1595000000,355.0829000000,87.8710000000,210.0903000000,0,U,61069,999,475,-0.0001647100,-0.0000960200,0E-10
STARLINK-32375,2024-164W,2024-10-05T22:00:00.999936,15.4932268400,0.0001017000,53.1594000000,355.0869000000,92.9740000000,203.0737000000,0,U,61070,999,479,-0.0002352200,-0.0001351400,0E-10
QAEM 100 R/B,2024-165A,2024-10-05T21:17:47.338944,15.0520179400,0.0006240000,64.0949000000,269.4238000000,256.8692000000,103.1724000000,0,U,61071,999,325,0.0008018600,0.0001133300,0E-10
CHAMRAN-1,2024-165B,2024-10-06T04:20:04.242624,15.0791559300,0.0015982000,64.0893000000,268.1596000000,289.7414000000,70.1976000000,0,U,61072,999,330,0.0012076000,0.0001853700,0E-10
2024-166A,2024-166A,2024-10-06T02:32:43.222848,15.8027900600,0.0014594000,96.7647000000,175.1661000000,166.1536000000,194.0136000000,0,U,61179,999,297,0.0004611800,0.0008755200,0E-10
2024-166B,2024-166B,2024-10-06T05:34:46.497504,15.8031373300,0.0014698000,96.7646000000,175.2906000000,165.4233000000,194.7463000000,0,U,61180,999,297,0.0004050000,0.0007691000,0E-10
QAEM 100 DEB,2024-165C,2024-10-06T02:08:23.506944,15.1339799200,0.0007989000,64.1221000000,268.3402000000,294.7213000000,65.3072000000,0,U,61181,999,300,0.0152200000,0.0028403900,0E-10
GSAT0232 (GALILEO 32),2024-167A,2024-10-05T01:32:57.298848,1.7317709000,0.0017154000,55.4085000000,238.3335000000,273.0908000000,86.6759000000,0,U,61182,999,29,0E-10,9.00E-8,0E-10
GSAT0226 (GALILEO 31),2024-167B,2024-10-04T12:53:21.055200,1.7137962300,0.0032528000,55.4090000000,238.3638000000,98.1835000000,216.1601000000,0,U,61183,999,28,0E-10,6.00E-8,0E-10
FALCON R/B,2024-167C,2024-10-05T02:30:15.156576,1.7261540000,0.0009961000,55.4106000000,238.3386000000,5.3768000000,354.5968000000,0,U,61184,999,27,0E-10,9.00E-8,0E-10
2024-168A,2024-168A,2024-10-05T07:25:50.620224,1.8009661400,0.0079150000,54.9288000000,323.6754000000,294.4029000000,64.8409000000,0,U,61185,999,30,0E-10,-6.600E-7,0E-10
2024-168B,2024-168B,2024-10-05T19:19:01.905024,1.8296917000,0.0117643000,54.9766000000,323.6550000000,177.3788000000,315.4676000000,0,U,61186,999,30,0E-10,-6.300E-7,0E-10
2024-168C,2024-168C,2024-10-05T17:21:52.012224,1.8432969400,0.0066473000,54.9873000000,323.6511000000,179.9659000000,305.6787000000,0,U,61187,999,31,0E-10,-6.300E-7,0E-10
2024-168D,2024-168D,2024-10-06T02:42:36.986976,4.4555213000,0.5800162000,55.0045000000,314.5274000000,175.6314000000,193.4626000000,0,U,61188,999,74,0.0016542000,0.0013723100,-9.39E-8
2024-169A,2024-169A,2024-10-06T04:54:36.288288,15.0847355000,0.0009387000,97.5966000000,5.4391000000,221.6423000000,138.4091000000,0,U,61189,999,241,0.0012571000,0.0001958500,0E-10
2024-169B,2024-169B,2024-10-06T04:48:28.982880,15.0893607500,0.0009247000,97.5867000000,5.4241000000,215.2022000000,144.8597000000,0,U,61190,999,241,0.0013221000,0.0002086600,0E-10
2024-169C,2024-169C,2024-10-06T04:40:12.439488,15.0963842600,0.0010022000,97.5943000000,5.4463000000,211.9846000000,148.0775000000,0,U,61191,999,241,0.0013169000,0.0002119200,0E-10
2024-169D,2024-169D,2024-10-06T04:34:38.097408,15.1025532200,0.0012633000,97.5872000000,5.4368000000,218.2956000000,141.7377000000,0,U,61192,999,241,0.0013598000,0.0002227700,0E-10
2024-169E,2024-169E,2024-10-06T04:29:36.286656,15.1069944000,0.0013919000,97.5974000000,5.4617000000,225.3511000000,134.6585000000,0,U,61193,999,241,0.0013057000,0.0002165800,0E-10
2024-169F,2024-169F,2024-10-06T04:18:03.707712,15.1158686700,0.0017023000,97.5951000000,5.4676000000,233.7035000000,126.2624000000,0,U,61194,999,241,0.0013068000,0.0002224300,0E-10
2024-170A,2024-170A,2024-10-06T03:25:39.448416,14.1338595100,0.0006576000,44.8585000000,27.8058000000,356.2232000000,3.8554000000,0,U,61195,999,221,0.0010487000,0.0000185300,0E-10
2024-170B,2024-170B,2024-10-06T03:25:46.397568,14.1324791000,0.0006739000,44.8598000000,27.8092000000,348.6847000000,11.3837000000,0,U,61196,999,221,0.0010576000,0.0000186500,0E-10
2024-170C,2024-170C,2024-10-06T03:29:04.518816,14.1320357500,0.0006696000,44.8635000000,27.8300000000,343.8861000000,16.1761000000,0,U,61197,999,221,0.0010202000,0.0000179200,0E-10
2024-170D,2024-170D,2024-10-06T03:31:01.711776,14.1306830700,0.0006899000,44.8621000000,27.8355000000,343.0065000000,17.0539000000,0,U,61198,999,223,0.0010330000,0.0000181200,0E-10
